#Name,VisitHour,VisitDay,Visits,StdDev,Site Daily Total,Site Daily StdDev,Site Weekly Total,Site Daily Average,Tier,Max MD Hours,,,
Bellmore,11:30:00,Friday,4.38,2.33,114.54,1.98,835.37,120,E,200,,,
Bellmore,11:30:00,Saturday,7.46,2.5,96.38,1.56,835.37,120,E,200,,,
Bellmore,12:00:00,Sunday,7.54,2.9,117.69,2.07,835.37,120,E,200,,,
Bellmore,12:00:00,Monday,5.08,3.23,138.69,2.65,835.37,120,E,200,,,
Bellmore,12:00:00,Tuesday,4.75,1.76,128.83,2.14,835.37,120,E,200,,,
Bellmore,12:00:00,Wednesday,3.62,2.1,119.15,2.04,835.37,120,E,200,,,
Bellmore,12:00:00,Thursday,4.69,1.97,120.08,2.24,835.37,120,E,200,,,
Bellmore,12:00:00,Friday,4.69,2.32,114.54,1.98,835.37,120,E,200,,,
Bellmore,12:00:00,Saturday,5.38,2.29,96.38,1.56,835.37,120,E,200,,,
Bellmore,12:30:00,Sunday,6.08,2.66,117.69,2.07,835.37,120,E,200,,,
Bellmore,12:30:00,Monday,5.23,2.24,138.69,2.65,835.37,120,E,200,,,
Bellmore,12:30:00,Tuesday,5.33,2.31,128.83,2.14,835.37,120,E,200,,,
Bellmore,12:30:00,Wednesday,3.38,1.8,119.15,2.04,835.37,120,E,200,,,
Bellmore,12:30:00,Thursday,4.31,1.65,120.08,2.24,835.37,120,E,200,,,
Bellmore,12:30:00,Friday,3.46,1.81,114.54,1.98,835.37,120,E,200,,,
Bellmore,12:30:00,Saturday,6.15,1.86,96.38,1.56,835.37,120,E,200,,,
Bellmore,13:00:00,Sunday,7.62,3.82,117.69,2.07,835.37,120,E,200,,,
Bellmore,13:00:00,Monday,6.15,3,138.69,2.65,835.37,120,E,200,,,
Bellmore,13:00:00,Tuesday,3.67,1.87,128.83,2.14,835.37,120,E,200,,,
Bellmore,13:00:00,Wednesday,3.92,1.61,119.15,2.04,835.37,120,E,200,,,
Bellmore,13:00:00,Thursday,3.54,1.45,120.08,2.24,835.37,120,E,200,,,
Bellmore,13:00:00,Friday,4.85,1.63,114.54,1.98,835.37,120,E,200,,,
Bellmore,13:00:00,Saturday,4.85,2.88,96.38,1.56,835.37,120,E,200,,,
Bellmore,13:30:00,Sunday,6.38,4.31,117.69,2.07,835.37,120,E,200,,,
Bellmore,13:30:00,Monday,4,2.08,138.69,2.65,835.37,120,E,200,,,
Bellmore,13:30:00,Tuesday,5.08,3,128.83,2.14,835.37,120,E,200,,,
Bellmore,13:30:00,Wednesday,3.69,2.32,119.15,2.04,835.37,120,E,200,,,
Bellmore,13:30:00,Thursday,4.69,1.49,120.08,2.24,835.37,120,E,200,,,
Bellmore,13:30:00,Friday,3.38,2.06,114.54,1.98,835.37,120,E,200,,,
Bellmore,13:30:00,Saturday,5.85,2.85,96.38,1.56,835.37,120,E,200,,,
Bellmore,14:00:00,Sunday,4.85,2.76,117.69,2.07,835.37,120,E,200,,,
Bellmore,14:00:00,Monday,4.69,2.39,138.69,2.65,835.37,120,E,200,,,
Bellmore,14:00:00,Tuesday,4.42,3.18,128.83,2.14,835.37,120,E,200,,,
Bellmore,14:00:00,Wednesday,4.38,1.76,119.15,2.04,835.37,120,E,200,,,
Bellmore,14:00:00,Thursday,4.31,2.06,120.08,2.24,835.37,120,E,200,,,
Bellmore,14:00:00,Friday,3.85,1.14,114.54,1.98,835.37,120,E,200,,,
Bellmore,14:00:00,Saturday,5.08,1.98,96.38,1.56,835.37,120,E,200,,,
Bellmore,14:30:00,Sunday,6,3.08,117.69,2.07,835.37,120,E,200,,,
Bellmore,14:30:00,Monday,4.31,1.65,138.69,2.65,835.37,120,E,200,,,
Bellmore,14:30:00,Tuesday,3.67,1.67,128.83,2.14,835.37,120,E,200,,,
Bellmore,14:30:00,Wednesday,3.46,1.71,119.15,2.04,835.37,120,E,200,,,
Bellmore,14:30:00,Thursday,5.08,2.33,120.08,2.24,835.37,120,E,200,,,
Bellmore,14:30:00,Friday,4.92,1.55,114.54,1.98,835.37,120,E,200,,,
Bellmore,14:30:00,Saturday,6.62,3.23,96.38,1.56,835.37,120,E,200,,,
Bellmore,15:00:00,Sunday,4.92,4.13,117.69,2.07,835.37,120,E,200,,,
Bellmore,15:00:00,Monday,4.92,2.81,138.69,2.65,835.37,120,E,200,,,
Bellmore,15:00:00,Tuesday,4.17,1.85,128.83,2.14,835.37,120,E,200,,,
Bellmore,15:00:00,Wednesday,3.69,1.38,119.15,2.04,835.37,120,E,200,,,
Bellmore,15:00:00,Thursday,4.54,2.47,120.08,2.24,835.37,120,E,200,,,
Bellmore,15:00:00,Friday,3.92,2.22,114.54,1.98,835.37,120,E,200,,,
Bellmore,15:00:00,Saturday,4,1.47,96.38,1.56,835.37,120,E,200,,,
Bellmore,15:30:00,Sunday,4.38,2.66,117.69,2.07,835.37,120,E,200,,,
Bellmore,15:30:00,Monday,4.92,2.6,138.69,2.65,835.37,120,E,200,,,
Bellmore,15:30:00,Tuesday,4.83,1.59,128.83,2.14,835.37,120,E,200,,,
Bellmore,15:30:00,Wednesday,5.23,2.45,119.15,2.04,835.37,120,E,200,,,
Bellmore,15:30:00,Thursday,4.77,2.42,120.08,2.24,835.37,120,E,200,,,
Bellmore,15:30:00,Friday,4.85,2.23,114.54,1.98,835.37,120,E,200,,,
Bellmore,15:30:00,Saturday,3.69,2.21,96.38,1.56,835.37,120,E,200,,,
Bellmore,16:00:00,Sunday,5.38,3.5,117.69,2.07,835.37,120,E,200,,,
Bellmore,16:00:00,Monday,4.92,2.53,138.69,2.65,835.37,120,E,200,,,
Bellmore,16:00:00,Tuesday,5,3.05,128.83,2.14,835.37,120,E,200,,,
Bellmore,16:00:00,Wednesday,4.92,2.43,119.15,2.04,835.37,120,E,200,,,
Bellmore,16:00:00,Thursday,6.23,3.72,120.08,2.24,835.37,120,E,200,,,
Bellmore,16:00:00,Friday,4.15,1.95,114.54,1.98,835.37,120,E,200,,,
Bellmore,16:00:00,Saturday,5.69,2.14,96.38,1.56,835.37,120,E,200,,,
Bellmore,16:30:00,Sunday,5.46,2.99,117.69,2.07,835.37,120,E,200,,,
Bellmore,16:30:00,Monday,5.85,3.29,138.69,2.65,835.37,120,E,200,,,
Bellmore,16:30:00,Tuesday,5.33,2.84,128.83,2.14,835.37,120,E,200,,,
Bellmore,16:30:00,Wednesday,6.15,3.24,119.15,2.04,835.37,120,E,200,,,
Bellmore,16:30:00,Thursday,5.46,2.11,120.08,2.24,835.37,120,E,200,,,
Bellmore,16:30:00,Friday,4.23,2.39,114.54,1.98,835.37,120,E,200,,,
Bellmore,16:30:00,Saturday,4.08,2.1,96.38,1.56,835.37,120,E,200,,,
Bellmore,17:00:00,Sunday,0.31,0.63,117.69,2.07,835.37,120,E,200,,,
Bellmore,17:00:00,Monday,5.69,2.95,138.69,2.65,835.37,120,E,200,,,
Bellmore,17:00:00,Tuesday,5.08,3,128.83,2.14,835.37,120,E,200,,,
Bellmore,17:00:00,Wednesday,4.62,1.76,119.15,2.04,835.37,120,E,200,,,
Bellmore,17:00:00,Thursday,5.31,2.46,120.08,2.24,835.37,120,E,200,,,
Bellmore,17:00:00,Friday,5.31,2.06,114.54,1.98,835.37,120,E,200,,,
Bellmore,17:00:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Bellmore,17:30:00,Sunday,0,0,117.69,2.07,835.37,120,E,200,,,
Bellmore,17:30:00,Monday,7.15,3.87,138.69,2.65,835.37,120,E,200,,,
Bellmore,17:30:00,Tuesday,5.58,2.02,128.83,2.14,835.37,120,E,200,,,
Bellmore,17:30:00,Wednesday,4.62,1.71,119.15,2.04,835.37,120,E,200,,,
Bellmore,17:30:00,Thursday,5.54,1.66,120.08,2.24,835.37,120,E,200,,,
Bellmore,17:30:00,Friday,4.69,2.25,114.54,1.98,835.37,120,E,200,,,
Bellmore,17:30:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Bellmore,18:00:00,Sunday,0,0,117.69,2.07,835.37,120,E,200,,,
Bellmore,18:00:00,Monday,6.85,3.08,138.69,2.65,835.37,120,E,200,,,
Bellmore,18:00:00,Tuesday,7.58,2.19,128.83,2.14,835.37,120,E,200,,,
Bellmore,18:00:00,Wednesday,6.08,2.22,119.15,2.04,835.37,120,E,200,,,
Bellmore,18:00:00,Thursday,4.85,2.34,120.08,2.24,835.37,120,E,200,,,
Bellmore,18:00:00,Friday,4.38,1.94,114.54,1.98,835.37,120,E,200,,,
Bellmore,18:00:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Bellmore,18:30:00,Sunday,0,0,117.69,2.07,835.37,120,E,200,,,
Bellmore,18:30:00,Monday,5.54,2.76,138.69,2.65,835.37,120,E,200,,,
Bellmore,18:30:00,Tuesday,5.83,1.64,128.83,2.14,835.37,120,E,200,,,
Bellmore,18:30:00,Wednesday,4.92,1.89,119.15,2.04,835.37,120,E,200,,,
Bellmore,18:30:00,Thursday,5.08,2.63,120.08,2.24,835.37,120,E,200,,,
Bellmore,18:30:00,Friday,5.54,2.37,114.54,1.98,835.37,120,E,200,,,
Bellmore,18:30:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Bellmore,19:00:00,Sunday,0,0,117.69,2.07,835.37,120,E,200,,,
Bellmore,19:00:00,Monday,6.54,3.82,138.69,2.65,835.37,120,E,200,,,
Bellmore,19:00:00,Tuesday,6.08,2.5,128.83,2.14,835.37,120,E,200,,,
Bellmore,19:00:00,Wednesday,6.46,2.26,119.15,2.04,835.37,120,E,200,,,
Bellmore,19:00:00,Thursday,3.92,1.89,120.08,2.24,835.37,120,E,200,,,
Bellmore,19:00:00,Friday,4.69,2.06,114.54,1.98,835.37,120,E,200,,,
Bellmore,19:00:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Bellmore,19:30:00,Sunday,0,0,117.69,2.07,835.37,120,E,200,,,
Bellmore,19:30:00,Monday,6,3.03,138.69,2.65,835.37,120,E,200,,,
Bellmore,19:30:00,Tuesday,4.75,1.71,128.83,2.14,835.37,120,E,200,,,
Bellmore,19:30:00,Wednesday,5.54,1.39,119.15,2.04,835.37,120,E,200,,,
Bellmore,19:30:00,Thursday,4.62,2.66,120.08,2.24,835.37,120,E,200,,,
Bellmore,19:30:00,Friday,3.92,1.71,114.54,1.98,835.37,120,E,200,,,
Bellmore,19:30:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Bellmore,20:00:00,Sunday,0,0,117.69,2.07,835.37,120,E,200,,,
Bellmore,20:00:00,Monday,5,3.27,138.69,2.65,835.37,120,E,200,,,
Bellmore,20:00:00,Tuesday,6.08,3.29,128.83,2.14,835.37,120,E,200,,,
Bellmore,20:00:00,Wednesday,4.38,1.89,119.15,2.04,835.37,120,E,200,,,
Bellmore,20:00:00,Thursday,4.31,2.56,120.08,2.24,835.37,120,E,200,,,
Bellmore,20:00:00,Friday,3.92,1.85,114.54,1.98,835.37,120,E,200,,,
Bellmore,20:00:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Bellmore,20:30:00,Sunday,0,0,117.69,2.07,835.37,120,E,200,,,
Bellmore,20:30:00,Monday,3.31,1.84,138.69,2.65,835.37,120,E,200,,,
Bellmore,20:30:00,Tuesday,2.67,1.87,128.83,2.14,835.37,120,E,200,,,
Bellmore,20:30:00,Wednesday,3.08,1.66,119.15,2.04,835.37,120,E,200,,,
Bellmore,20:30:00,Thursday,3.38,2.06,120.08,2.24,835.37,120,E,200,,,
Bellmore,20:30:00,Friday,3.23,1.54,114.54,1.98,835.37,120,E,200,,,
Bellmore,20:30:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Bellmore,21:00:00,Sunday,0,0,117.69,2.07,835.37,120,E,200,,,
Bellmore,21:00:00,Monday,0.08,0.28,138.69,2.65,835.37,120,E,200,,,
Bellmore,21:00:00,Tuesday,0,0,128.83,2.14,835.37,120,E,200,,,
Bellmore,21:00:00,Wednesday,0,0,119.15,2.04,835.37,120,E,200,,,
Bellmore,21:00:00,Thursday,0.23,0.6,120.08,2.24,835.37,120,E,200,,,
Bellmore,21:00:00,Friday,0,0,114.54,1.98,835.37,120,E,200,,,
Bellmore,21:00:00,Saturday,0,0,96.38,1.56,835.37,120,E,200,,,
Carle Place,8:30:00,Sunday,0,0,50.38,1.1,374.87,54,C,120,,,
Carle Place,8:30:00,Monday,0.38,0.96,62.54,1.58,374.87,54,C,120,,,
Carle Place,8:30:00,Tuesday,0.08,0.29,56.25,1.34,374.87,54,C,120,,,
Carle Place,8:30:00,Wednesday,0,0,55.62,1.5,374.87,54,C,120,,,
Carle Place,8:30:00,Thursday,0,0,54.38,1.38,374.87,54,C,120,,,
Carle Place,8:30:00,Friday,0.08,0.28,49.92,1.26,374.87,54,C,120,,,
Carle Place,8:30:00,Saturday,0,0,45.77,1,374.87,54,C,120,,,
Carle Place,9:00:00,Sunday,5.92,2.4,50.38,1.1,374.87,54,C,120,,,
Carle Place,9:00:00,Monday,4.62,1.98,62.54,1.58,374.87,54,C,120,,,
Carle Place,9:00:00,Tuesday,4.58,1.83,56.25,1.34,374.87,54,C,120,,,
Carle Place,9:00:00,Wednesday,3.62,1.98,55.62,1.5,374.87,54,C,120,,,
Carle Place,9:00:00,Thursday,3.92,2.33,54.38,1.38,374.87,54,C,120,,,
Carle Place,9:00:00,Friday,4.08,2.06,49.92,1.26,374.87,54,C,120,,,
Carle Place,9:00:00,Saturday,5.62,1.76,45.77,1,374.87,54,C,120,,,
Carle Place,9:30:00,Sunday,4.62,2.33,50.38,1.1,374.87,54,C,120,,,
Carle Place,9:30:00,Monday,2.85,1.63,62.54,1.58,374.87,54,C,120,,,
Carle Place,9:30:00,Tuesday,2.33,0.98,56.25,1.34,374.87,54,C,120,,,
Carle Place,9:30:00,Wednesday,2.54,2.54,55.62,1.5,374.87,54,C,120,,,
Carle Place,9:30:00,Thursday,2.46,1.51,54.38,1.38,374.87,54,C,120,,,
Carle Place,9:30:00,Friday,2.23,1.36,49.92,1.26,374.87,54,C,120,,,
Carle Place,9:30:00,Saturday,3.23,1.92,45.77,1,374.87,54,C,120,,,
Carle Place,10:00:00,Sunday,3.69,1.32,50.38,1.1,374.87,54,C,120,,,
Carle Place,10:00:00,Monday,3.31,2.18,62.54,1.58,374.87,54,C,120,,,
Carle Place,10:00:00,Tuesday,2,1.04,56.25,1.34,374.87,54,C,120,,,
Carle Place,10:00:00,Wednesday,2.62,1.89,55.62,1.5,374.87,54,C,120,,,
Carle Place,10:00:00,Thursday,2.69,1.18,54.38,1.38,374.87,54,C,120,,,
Carle Place,10:00:00,Friday,2.31,1.84,49.92,1.26,374.87,54,C,120,,,
Carle Place,10:00:00,Saturday,3.15,1.52,45.77,1,374.87,54,C,120,,,
Carle Place,10:30:00,Sunday,3.77,2.31,50.38,1.1,374.87,54,C,120,,,
Carle Place,10:30:00,Monday,2.31,1.44,62.54,1.58,374.87,54,C,120,,,
Carle Place,10:30:00,Tuesday,2.67,1.61,56.25,1.34,374.87,54,C,120,,,
Carle Place,10:30:00,Wednesday,2.62,1.33,55.62,1.5,374.87,54,C,120,,,
Carle Place,10:30:00,Thursday,2.08,0.86,54.38,1.38,374.87,54,C,120,,,
Carle Place,10:30:00,Friday,1.23,1.3,49.92,1.26,374.87,54,C,120,,,
Carle Place,10:30:00,Saturday,3.62,1.8,45.77,1,374.87,54,C,120,,,
Carle Place,11:00:00,Sunday,3.46,1.56,50.38,1.1,374.87,54,C,120,,,
Carle Place,11:00:00,Monday,3.46,1.9,62.54,1.58,374.87,54,C,120,,,
Carle Place,11:00:00,Tuesday,2.83,1.47,56.25,1.34,374.87,54,C,120,,,
Carle Place,11:00:00,Wednesday,1.85,1.52,55.62,1.5,374.87,54,C,120,,,
Carle Place,11:00:00,Thursday,1.92,0.95,54.38,1.38,374.87,54,C,120,,,
Carle Place,11:00:00,Friday,1.77,1.01,49.92,1.26,374.87,54,C,120,,,
Carle Place,11:00:00,Saturday,3,1,45.77,1,374.87,54,C,120,,,
Carle Place,11:30:00,Sunday,2.92,2.14,50.38,1.1,374.87,54,C,120,,,
Carle Place,11:30:00,Monday,2.69,1.75,62.54,1.58,374.87,54,C,120,,,
Carle Place,11:30:00,Tuesday,2.08,2.35,56.25,1.34,374.87,54,C,120,,,
Carle Place,11:30:00,Wednesday,2.23,1.36,55.62,1.5,374.87,54,C,120,,,
Carle Place,11:30:00,Thursday,2.31,1.49,54.38,1.38,374.87,54,C,120,,,
Carle Place,11:30:00,Friday,2,1,49.92,1.26,374.87,54,C,120,,,
Carle Place,11:30:00,Saturday,2.77,1.59,45.77,1,374.87,54,C,120,,,
Carle Place,12:00:00,Sunday,2.92,2.18,50.38,1.1,374.87,54,C,120,,,
Carle Place,12:00:00,Monday,3.08,2.29,62.54,1.58,374.87,54,C,120,,,
Carle Place,12:00:00,Tuesday,2.08,1.24,56.25,1.34,374.87,54,C,120,,,
Carle Place,12:00:00,Wednesday,2,0.91,55.62,1.5,374.87,54,C,120,,,
Carle Place,12:00:00,Thursday,2.31,1.32,54.38,1.38,374.87,54,C,120,,,
Carle Place,12:00:00,Friday,2.31,1.75,49.92,1.26,374.87,54,C,120,,,
Carle Place,12:00:00,Saturday,2.69,1.65,45.77,1,374.87,54,C,120,,,
Carle Place,12:30:00,Sunday,2.77,1.42,50.38,1.1,374.87,54,C,120,,,
Carle Place,12:30:00,Monday,3.08,2.22,62.54,1.58,374.87,54,C,120,,,
Carle Place,12:30:00,Tuesday,2.33,1.37,56.25,1.34,374.87,54,C,120,,,
Carle Place,12:30:00,Wednesday,1.92,1.55,55.62,1.5,374.87,54,C,120,,,
Carle Place,12:30:00,Thursday,2.08,1.85,54.38,1.38,374.87,54,C,120,,,
Carle Place,12:30:00,Friday,1.46,1.33,49.92,1.26,374.87,54,C,120,,,
Carle Place,12:30:00,Saturday,2.69,1.38,45.77,1,374.87,54,C,120,,,
Carle Place,13:00:00,Sunday,2.77,2.52,50.38,1.1,374.87,54,C,120,,,
Carle Place,13:00:00,Monday,2.46,1.33,62.54,1.58,374.87,54,C,120,,,
Carle Place,13:00:00,Tuesday,2.17,2.04,56.25,1.34,374.87,54,C,120,,,
Carle Place,13:00:00,Wednesday,2.15,1.21,55.62,1.5,374.87,54,C,120,,,
Carle Place,13:00:00,Thursday,1.85,1.07,54.38,1.38,374.87,54,C,120,,,
Carle Place,13:00:00,Friday,1.62,1.26,49.92,1.26,374.87,54,C,120,,,
Carle Place,13:00:00,Saturday,2.69,1.6,45.77,1,374.87,54,C,120,,,
Carle Place,13:30:00,Sunday,2.23,1.42,50.38,1.1,374.87,54,C,120,,,
Carle Place,13:30:00,Monday,3.08,2.14,62.54,1.58,374.87,54,C,120,,,
Carle Place,13:30:00,Tuesday,1.75,1.06,56.25,1.34,374.87,54,C,120,,,
Carle Place,13:30:00,Wednesday,2.08,1.32,55.62,1.5,374.87,54,C,120,,,
Carle Place,13:30:00,Thursday,1.23,0.73,54.38,1.38,374.87,54,C,120,,,
Carle Place,13:30:00,Friday,2.08,1.5,49.92,1.26,374.87,54,C,120,,,
Carle Place,13:30:00,Saturday,2.77,1.42,45.77,1,374.87,54,C,120,,,
Carle Place,14:00:00,Sunday,2.92,1.26,50.38,1.1,374.87,54,C,120,,,
Carle Place,14:00:00,Monday,1.85,0.8,62.54,1.58,374.87,54,C,120,,,
Carle Place,14:00:00,Tuesday,1.58,1,56.25,1.34,374.87,54,C,120,,,
Carle Place,14:00:00,Wednesday,1.23,1.54,55.62,1.5,374.87,54,C,120,,,
Carle Place,14:00:00,Thursday,1.15,0.99,54.38,1.38,374.87,54,C,120,,,
Carle Place,14:00:00,Friday,1.77,0.73,49.92,1.26,374.87,54,C,120,,,
Carle Place,14:00:00,Saturday,2.23,1.59,45.77,1,374.87,54,C,120,,,
Carle Place,14:30:00,Sunday,3.08,2.18,50.38,1.1,374.87,54,C,120,,,
Carle Place,14:30:00,Monday,1.85,1.68,62.54,1.58,374.87,54,C,120,,,
Carle Place,14:30:00,Tuesday,1.5,1.24,56.25,1.34,374.87,54,C,120,,,
Carle Place,14:30:00,Wednesday,1.62,1.66,55.62,1.5,374.87,54,C,120,,,
Carle Place,14:30:00,Thursday,1.77,1.36,54.38,1.38,374.87,54,C,120,,,
Carle Place,14:30:00,Friday,1.77,1.01,49.92,1.26,374.87,54,C,120,,,
Carle Place,14:30:00,Saturday,2,2.58,45.77,1,374.87,54,C,120,,,
Carle Place,15:00:00,Sunday,2.85,1.41,50.38,1.1,374.87,54,C,120,,,
Carle Place,15:00:00,Monday,2.15,1.86,62.54,1.58,374.87,54,C,120,,,
Carle Place,15:00:00,Tuesday,2.83,2.12,56.25,1.34,374.87,54,C,120,,,
Carle Place,15:00:00,Wednesday,2.54,1.51,55.62,1.5,374.87,54,C,120,,,
Carle Place,15:00:00,Thursday,1.92,1.44,54.38,1.38,374.87,54,C,120,,,
Carle Place,15:00:00,Friday,2.31,1.44,49.92,1.26,374.87,54,C,120,,,
Carle Place,15:00:00,Saturday,2.46,1.33,45.77,1,374.87,54,C,120,,,
Carle Place,15:30:00,Sunday,2.38,1.19,50.38,1.1,374.87,54,C,120,,,
Carle Place,15:30:00,Monday,1.38,1.12,62.54,1.58,374.87,54,C,120,,,
Carle Place,15:30:00,Tuesday,2.08,0.79,56.25,1.34,374.87,54,C,120,,,
Carle Place,15:30:00,Wednesday,1.85,0.99,55.62,1.5,374.87,54,C,120,,,
Carle Place,15:30:00,Thursday,1.62,1.5,54.38,1.38,374.87,54,C,120,,,
Carle Place,15:30:00,Friday,2.46,1.39,49.92,1.26,374.87,54,C,120,,,
Carle Place,15:30:00,Saturday,2.23,1.36,45.77,1,374.87,54,C,120,,,
Carle Place,16:00:00,Sunday,2.08,1.75,50.38,1.1,374.87,54,C,120,,,
Carle Place,16:00:00,Monday,3.38,1.85,62.54,1.58,374.87,54,C,120,,,
Carle Place,16:00:00,Tuesday,2,1.35,56.25,1.34,374.87,54,C,120,,,
Carle Place,16:00:00,Wednesday,2.38,1.61,55.62,1.5,374.87,54,C,120,,,
Carle Place,16:00:00,Thursday,2.15,1.21,54.38,1.38,374.87,54,C,120,,,
Carle Place,16:00:00,Friday,2,1,49.92,1.26,374.87,54,C,120,,,
Carle Place,16:00:00,Saturday,1.77,1.36,45.77,1,374.87,54,C,120,,,
Carle Place,16:30:00,Sunday,2,1.29,50.38,1.1,374.87,54,C,120,,,
Carle Place,16:30:00,Monday,1.69,1.25,62.54,1.58,374.87,54,C,120,,,
Carle Place,16:30:00,Tuesday,2.17,1.19,56.25,1.34,374.87,54,C,120,,,
Carle Place,16:30:00,Wednesday,2.54,2.11,55.62,1.5,374.87,54,C,120,,,
Carle Place,16:30:00,Thursday,1.38,1.5,54.38,1.38,374.87,54,C,120,,,
Carle Place,16:30:00,Friday,2.77,1.36,49.92,1.26,374.87,54,C,120,,,
Carle Place,16:30:00,Saturday,2.69,1.75,45.77,1,374.87,54,C,120,,,
Carle Place,17:00:00,Sunday,0,0,50.38,1.1,374.87,54,C,120,,,
Carle Place,17:00:00,Monday,2.62,1.56,62.54,1.58,374.87,54,C,120,,,
Carle Place,17:00:00,Tuesday,2.5,2.11,56.25,1.34,374.87,54,C,120,,,
Carle Place,17:00:00,Wednesday,2.69,2.02,55.62,1.5,374.87,54,C,120,,,
